"subject","group","task","run","BOLD","param","value","range"
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_MEAN",11.8297872610546,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_STD",3.11712383468694,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","SNR_voxel_value_range",NA," 0.0 - 13.622784810126582"
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Mean",93.9775962764337,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Mean_(mask)",471.558873982256,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","SD",210.805753047581,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","SD_(mask)",211.975560573825,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Min_Slice_SNR",343.270021916554,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Max_Slice_SNR",1163.98698172202,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Mean_voxel_SNR",672.437975689664,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Mean_absolute_Movement",0.189069099555461,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Max_absolute_Movement",0.636957910515331,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Max_relative_Movement",0.374285858090184,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.1mm)",21,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>0.5mm)",0,NA
"sub-control001","control","magictrickwatching",1,"magictrickwatching_run-1","Relative_movements_(>voxelsize)",0,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_MEAN",11.8371085338859,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_STD",3.11723160393306,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","SNR_voxel_value_range",NA," 0.0 - 13.623626373626374"
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Mean",94.2652531514226,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Mean_(mask)",472.532915873529,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","SD",210.99079901696,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","SD_(mask)",210.740384641435,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Min_Slice_SNR",352.687808704294,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Max_Slice_SNR",1184.58260033095,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Mean_voxel_SNR",684.492647415979,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Mean_absolute_Movement",0.0907598362204732,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Max_absolute_Movement",0.3848,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Max_relative_Movement",0.268,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.1mm)",11,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>0.5mm)",0,NA
"sub-control001","control","magictrickwatching",2,"magictrickwatching_run-2","Relative_movements_(>voxelsize)",0,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_MEAN",11.7258056761855,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_STD",3.08257099487709,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","SNR_voxel_value_range",NA," 0.0 - 13.438320209973753"
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Mean",90.6119799286861,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Mean_(mask)",451.397895672613,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","SD",200.286790357923,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","SD_(mask)",192.302375438772,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Min_Slice_SNR",428.927496405314,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Max_Slice_SNR",1138.36633693098,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Mean_voxel_SNR",703.992844300386,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Mean_absolute_Movement",0.261839401537019,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Max_absolute_Movement",0.674657022358408,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Max_relative_Movement",0.631198323983749,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.1mm)",16,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>0.5mm)",1,NA
"sub-control001","control","magictrickwatching",3,"magictrickwatching_run-3","Relative_movements_(>voxelsize)",0,NA
"sub-control001","control","rest",1,"rest_run-1","SNR_voxel_MEAN",11.8509008129223,NA
"sub-control001","control","rest",1,"rest_run-1","SNR_voxel_STD",3.11564843235133,NA
