BIDS	RSFC_aHPC_run-1	RSFC_aHPC_run-2	taskFC_fHPC
sub-control001	+0.45580	+0.35230	+0.26284
sub-control002	+0.04848	+0.02644	+0.21858
sub-control003	+0.24824	+0.18101	+0.10527
sub-control007	+0.49415	+0.17470	+0.24085
sub-control009	+0.46112	+0.42839	+0.34561
sub-control011	+0.28937	+0.21731	+0.29417
sub-control013	+0.40003	+0.46533	+0.47670
sub-control015	+0.37730	+0.43497	+0.52748
sub-control017	+0.01632	-0.05212	+0.12813
sub-control019	+0.18855	+0.07161	+0.16101
sub-control021	+0.20407	+0.18118	+0.30068
sub-control023	+0.36528	+0.24228	+0.24777
sub-control025	+0.38755	+0.28803	+0.27919
sub-control027	+0.29828	+0.16137	+0.09511
sub-control029	+0.16181	+0.31740	+0.24478
sub-control031	+0.44739	+0.62489	+0.44148
sub-control033	+0.08415	+0.40834	+0.39922
sub-control035	+0.07814	+0.23806	+0.28581
sub-control037	+0.29736	+0.51913	+0.56068
sub-control039	+0.27175	+0.40793	+0.37386
sub-control041	+0.18732	+0.35044	+0.11712
sub-control043	+0.24940	+0.37062	+0.29668
sub-control045	+0.27925	+0.44901	+0.46182
sub-control047	+0.41847	+0.26271	+0.23868
sub-control049	+0.23566	+0.19601	+0.30864
sub-experimental004	+0.36192	+0.34977	+0.33237
sub-experimental005	+0.27084	+0.35201	+0.30523
sub-experimental006	+0.09069	+0.16369	+0.21270
sub-experimental008	+0.17827	+0.24373	+0.24057
sub-experimental010	+0.46440	+0.19580	+0.14063
sub-experimental012	+0.28616	+0.45721	+0.30286
sub-experimental014	+0.17848	+0.15690	+0.20991
sub-experimental016	+0.29686	+0.38731	+0.21569
sub-experimental018	+0.28081	-0.13455	+0.23071
sub-experimental020	+0.37432	+0.43578	+0.34879
sub-experimental022	+0.46089	+0.49335	+0.34483
sub-experimental024	+0.15379	+0.34917	+0.30120
sub-experimental026	+0.32061	+0.36004	+0.28810
sub-experimental028	+0.37051	+0.33228	+0.18161
sub-experimental030	+0.27414	+0.16542	+0.25053
sub-experimental032	+0.39225	+0.36527	+0.32302
sub-experimental034	+0.29027	+0.26457	+0.32675
sub-experimental036	+0.30720	+0.11928	+0.23179
sub-experimental038	+0.34133	+0.45666	+0.50437
sub-experimental040	+0.19479	+0.14359	+0.09412
sub-experimental042	+0.12609	+0.03498	+0.11106
sub-experimental044	+0.04882	+0.16327	+0.29483
sub-experimental046	+0.29700	+0.26455	+0.35574
sub-experimental048	+0.06547	+0.33653	+0.37410
sub-experimental050	+0.12795	+0.23731	+0.25847
